1,0.016125,0.002383
2,0.000379,0.002250
3,0.000262,0.001766
4,0.000290,0.001650
5,0.000298,0.001605
6,0.000300,0.001577
7,0.000300,0.001556
8,0.000301,0.001539
9,0.000301,0.001524
10,0.000301,0.001512
11,0.000301,0.001502
12,0.000301,0.001493
13,0.000301,0.001485
14,0.000301,0.001479
15,0.000301,0.001473
16,0.000302,0.001469
17,0.000302,0.001466
18,0.000302,0.001463
19,0.000302,0.001461
20,0.000302,0.001459
21,0.000302,0.001457
22,0.000302,0.001456
23,0.000302,0.001454
24,0.000302,0.001454
25,0.000302,0.001453
26,0.000302,0.001453
27,0.000302,0.001453
28,0.000302,0.001456
29,0.000302,0.001455
30,0.000302,0.001456
31,0.000302,0.001458
32,0.000302,0.001459
33,0.000302,0.001431
34,0.000302,0.001431
35,0.000302,0.001430
36,0.000302,0.001430
37,0.000302,0.001429
38,0.000302,0.001431
39,0.000302,0.001431
40,0.000302,0.001430
41,0.000302,0.001429
42,0.000302,0.001429
43,0.000302,0.001429
44,0.000302,0.001429
45,0.000302,0.001431
46,0.000302,0.001430
47,0.000302,0.001428
48,0.000302,0.001433
49,0.000302,0.001431
50,0.000302,0.001428
51,0.000302,0.001429
52,0.000302,0.001429
53,0.000302,0.001435
54,0.000302,0.001435
55,0.000302,0.001436
56,0.000302,0.001437
57,0.000302,0.001438
58,0.000302,0.001438
59,0.000301,0.001236
60,0.000297,0.001228
61,0.000297,0.001221
62,0.000297,0.001214
63,0.000297,0.001209
64,0.000297,0.001200
65,0.000296,0.001223
66,0.000297,0.001222
67,0.000297,0.001222
68,0.000297,0.001222
69,0.000297,0.001223
70,0.000297,0.001222
71,0.000297,0.001222
72,0.000297,0.001215
73,0.000297,0.001216
74,0.000297,0.001219
75,0.000297,0.001222
76,0.000351,0.000904
77,0.000339,0.000903
78,0.000341,0.000901
79,0.000343,0.000899
80,0.000344,0.000897
81,0.000344,0.000894
82,0.000345,0.000891
83,0.000345,0.000888
84,0.000345,0.000889
85,0.000345,0.000887
86,0.000345,0.000885
87,0.000345,0.000883
88,0.000345,0.000882
89,0.000345,0.000881
90,0.000345,0.000877
91,0.000356,0.000874
92,0.000346,0.000871
93,0.000346,0.000869
94,0.000346,0.000866
95,0.000346,0.000863
96,0.000345,0.000860
97,0.000345,0.000861
98,0.000345,0.000856
99,0.000345,0.000857
100,0.000345,0.000855
101,0.000345,0.000853
102,0.000341,0.000857
103,0.000343,0.000852
104,0.000339,0.000853
105,0.000340,0.000852
106,0.000337,0.000852
107,0.000337,0.000853
108,0.000335,0.000858
109,0.000336,0.000865
110,0.000334,0.000863
111,0.000334,0.000875
112,0.000333,0.000881
113,0.000331,0.000887
114,0.000332,0.000890
115,0.000331,0.000900
116,0.000331,0.000910
117,0.000453,0.000908
118,0.000462,0.000911
119,0.000447,0.000892
120,0.000469,0.000888
121,0.000473,0.000890
122,0.000474,0.000891
123,0.000476,0.000894
124,0.000477,0.000903
125,0.000477,0.000914
126,0.000477,0.000910
127,0.000477,0.000917
128,0.000499,0.001010
129,0.000593,0.000957
130,0.000615,0.000916
131,0.000690,0.000916
132,0.000734,0.000910
133,0.000665,0.000905
134,0.000686,0.000893
135,0.000605,0.000909
136,0.000739,0.000895
137,0.000521,0.001081
138,0.000621,0.000921
139,0.001382,0.000919
140,0.001458,0.000903
141,0.001484,0.000905
142,0.001699,0.000926
143,0.001260,0.001155
144,0.000900,0.000990
145,0.001394,0.000922
146,0.001592,0.000924
147,0.001674,0.000925
148,0.001792,0.000928
149,0.001853,0.000931
150,0.003174,0.000932
151,0.003245,0.000940
152,0.003304,0.000980
153,0.003265,0.000966
154,0.003327,0.000967
155,0.003331,0.000969
156,0.003342,0.000965
157,0.003306,0.000970
158,0.003327,0.000973
159,0.003341,0.000975
160,0.003333,0.000973
161,0.003824,0.001116
162,0.003682,0.001166
163,0.003654,0.001178
164,0.003647,0.001182
165,0.003643,0.001183
166,0.003641,0.001184
